No.,File Name,Pole ID,Location,Full Address,Latitude,Longitude,GPS Coordinates,Date/Time,Status
2,ABOW5086.JPG,ETT-0002,"Lawley, Gauteng, South Africa","Barracuda Road, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.389451,27.807816,"-26.389451, 27.807816",07/23/2025 10:57 AM GMT+02:00,Extracted
3,AEJD0192.JPG,ETT-0003,"Lawley, Gauteng, South Africa","3rd Avenue, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.387176,27.806611,"-26.387176, 27.806611",07/23/2025 10:26 AM GMT+02:00,Extracted
7,ANGT3574.JPG,ETT-0007,"Lawley, Gauteng, South Africa","2nd Avenue, Lawley Estate, Lawley, Gauteng 1830, South Africa",-26.374962,27.811221,"-26.374962, 27.811221",07/23/2025 02:03 PM GMT+02:00,Extracted
10,ARGS9536.JPG,ETT-0010,"Lawley, Gauteng, South Africa","2nd Avenue, Lawley Extento, Lawley, Gauteng 1830, South Africa",-26.37387,27.810132,"-26.37387, 27.810132",07/23/2025 02:05 PM GMT+02:00,Extracted
11,ARZV1695.JPG,ETT-0011,"Lawley, Gauteng, South Africa","Lebone Street, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.382413,27.805773,"-26.382413, 27.805773",07/24/2025 03:35 PM GMT+02:00,Extracted
13,AVQE2541.JPG,ETT-0013,"Lawley, Gauteng, South Africa","Mackerel Road, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.391663,27.811781,"-26.391663, 27.811781",07/23/2025 11:11 AM GMT+02:00,Extracted
14,AXWD8963.JPG,ETT-0014,"Lawley, Gauteng, South Africa","Rebose Street, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.379983,27.805586,"-26.379983, 27.805586",07/24/2025 03:31 PM GMT+02:00,Extracted
33,CKCL1172.JPG,ETT-0033,"Lawley, Gauteng, South Africa","Ramalepe Street, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.384188,27.806924,"-26.384188, 27.806924",07/24/2025 03:11 PM GMT+02:00,Extracted
44,DMWX1009.JPG,ETT-0044,"Lawley, Gauteng, South Africa","Barracuda Road, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.390316,27.810644,"-26.390316, 27.810644",07/23/2025 11:02 AM GMT+02:00,Extracted
75,GBBN9148.JPG,ETT-0075,"Lawley, Gauteng, South Africa","Siyabonga Street, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.378948,27.809967,"-26.378948, 27.809967",07/23/2025 01:56 PM GMT+02:00,Extracted
92,HRHV1719.JPG,ETT-0092,"Lawley, Gauteng, South Africa","5th Avenue, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.382739,27.805834,"-26.382739, 27.805834",07/24/2025 03:35 PM GMT+02:00,Extracted
129,LEFU9103.JPG,ETT-0129,"Lawley, Gauteng, South Africa","Piranha Crescent, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.39649,27.813118,"-26.39649, 27.813118",07/23/2025 11:22 AM GMT+02:00,Extracted
178,PXFC6466.JPG,ETT-0178,"Lawley, Gauteng, South Africa","2nd Avenue, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.384564,27.806597,"-26.384564, 27.806597",07/24/2025 03:04 PM GMT+02:00,Extracted
201,RQBM3981.JPG,ETT-0201,"Lawley, Gauteng, South Africa","13 Enoch Street, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.380007,27.808841,"-26.380007, 27.808841",07/23/2025 02:15 PM GMT+02:00,Extracted
236,UUZQ0214.JPG,ETT-0236,"Lawley, Gauteng, South Africa","Lawley Road, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.382613,27.807202,"-26.382613, 27.807202",07/24/2025 03:14 PM GMT+02:00,Extracted
263,XHPT1307.JPG,ETT-0263,"Lawley, Gauteng, South Africa","2nd Avenue, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.383169,27.812837,"-26.383169, 27.812837",07/23/2025 10:13 AM GMT+02:00,Extracted
